type,name,text,ttl,comment,disabled,zone
txt,directach20._domainkey.directa.ch,"""""v=DKIM1""",86400,,False,directa.ch
txt,entris-banking.ch,"""v=spf1 mx ip4:185.178.62.11 ip4:185.178.62.12 ip4:185.178.62.22 ip4:185.178.62.23 include:_spf.psm.knowbe4.com -all""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""MS=ms92673362""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""swisssign-check=oLxXMqKk21SvoHAIbdq9fiMVzI8""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""MS=ms69212723""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""atlassian-domain-verification=fcBtBC/QiGvmALtwJrJTGtyICW6qJQbIcVl6zcMkRjQeBejabMrJTVX1UxwZHzPo""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""cisco-ci-domain-verification=5c5383b9667233f4263403025cf2739270a2b7b72fc7bf2f2252f3b169137111""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""atlassian-sending-domain-verification=22a79264-8eda-40c4-869f-74428d47c2e5""",300,,False,entris-banking.ch
txt,entris-banking.ch,"""swisssign-check=gA-LB7HnkkR8fi3ST1PoYGWXvRY""",300,,False,entris-banking.ch
txt,_dmarc.entris-banking.ch,"""""v=DMARC1""",900,,False,entris-banking.ch
txt,entris-holding.ch._report._dmarc.entris-banking.ch,"""v=DMARC1""",14400,,False,entris-banking.ch
txt,privor.ch._report._dmarc.entris-banking.ch,"""v=DMARC1""",14400,,False,entris-banking.ch
txt,vsrb.ch._report._dmarc.entris-banking.ch,"""v=DMARC1""",14400,,False,entris-banking.ch
txt,key01._domainkey.entris-banking.ch,"""""v=DKIM1""",14400,,False,entris-banking.ch
txt,key02._domainkey.entris-banking.ch,"""""v=DKIM1""",14400,,False,entris-banking.ch
txt,s1-ix-mx._domainkey.entris-banking.ch,"""""v=DKIM1""",900,,False,entris-banking.ch
txt,_gh-entris-banking-ag-e.entris-banking.ch,"""aa151e854d""",14400,,False,entris-banking.ch
txt,atlassian.entris-banking.ch,"""atlassian-domain-verification=syLgfhBblF4nus3m5i7YbFQp4s4Pw5eABYBiX0oVUZd9PAknvxRRNj5fL636qat8""",14400,,False,entris-banking.ch
txt,atlassian-domain-verification.entris-banking.ch,"""fcBtBC/QiGvmALtwJrJTGtyICW6qJQbIcVl6zcMkRjQeBejabMrJTVX1UxwZHzPo""",14400,,False,entris-banking.ch
txt,cisco-ci-domain-verification.entris-banking.ch,"""5c5383b9667233f4263403025cf2739270a2b7b72fc7bf2f2252f3b169137111""",14400,,False,entris-banking.ch
txt,tbe.entris-banking.ch,"""v=spf1 mx -all""",14400,,False,entris-banking.ch
txt,tbf.entris-banking.ch,"""v=spf1 mx -all""",14400,,False,entris-banking.ch
txt,training.entris-banking.ch,"""v=spf1 mx -all""",14400,,False,entris-banking.ch
txt,entris-finanz.ch,"""v=spf1 mx -all""",14400,,False,entris-finanz.ch
txt,_dmarc.entris-finanz.ch,"""""v=DMARC1""",14400,,False,entris-finanz.ch
txt,key01._domainkey.entris-finanz.ch,"""""v=DKIM1""",14400,,False,entris-finanz.ch
txt,key02._domainkey.entris-finanz.ch,"""""v=DKIM1""",14400,,False,entris-finanz.ch
txt,entris-holding.ch,"""MS=ms53389411""",900,,False,entris-holding.ch
txt,entris-holding.ch,"""swisssign-check=IJRT5I1zpubhg4PQ1f1_vw20tvQ""",900,,False,entris-holding.ch
txt,entris-holding.ch,"""v=spf1 mx ip4:185.178.62.11 ip4:185.178.62.12 ip4:185.178.62.22 ip4:185.178.62.23 -all""",900,,False,entris-holding.ch
txt,entris-holding.ch,"""swisssign-check=TNW7nkNbcXiPOfaidKOZ4-TacPU""",900,,False,entris-holding.ch
txt,_dmarc.entris-holding.ch,"""""v=DMARC1""",900,,False,entris-holding.ch
txt,key01._domainkey.entris-holding.ch,"""""v=DKIM1""",14400,,False,entris-holding.ch
txt,key02._domainkey.entris-holding.ch,"""""v=DKIM1""",14400,,False,entris-holding.ch
txt,s1-ix-mx._domainkey.entris-holding.ch,"""""v=DKIM1""",300,,False,entris-holding.ch
txt,gkb.ch,"""facebook-domain-verification=fqdznf3jhuzf6a3hdvwudikgi1z2yp""",900,,False,gkb.ch
txt,gkb.ch,"""adobe-idp-site-verification=befb41768ef30d808d318bb04c7fe1c75448c64e1775462b79ed2d1afcea804d""",900,,False,gkb.ch
