type,name,address,ttl,comment,disabled,zone
a,adfs.bsiintra.ch,185.178.61.211,14400,,False,bsiintra.ch
a,directa.ch,4.226.8.64,86400,,False,directa.ch
a,entris-banking.ch,149.126.4.59,14400,,False,entris-banking.ch
a,crl.entris-banking.ch,185.178.60.81,14400,,False,entris-banking.ch
a,iks.entris-banking.ch,51.107.9.30,14400,,False,entris-banking.ch
a,iks-test.entris-banking.ch,51.107.9.30,14400,,False,entris-banking.ch
a,iquotes.entris-banking.ch,193.5.66.149,14400,,False,entris-banking.ch
a,mx1.entris-banking.ch,185.178.62.11,14400,,False,entris-banking.ch
a,mx2.entris-banking.ch,185.178.62.12,14400,,False,entris-banking.ch
a,mx3.entris-banking.ch,185.178.62.14,14400,,False,entris-banking.ch
a,mx4.entris-banking.ch,185.178.62.15,14400,,False,entris-banking.ch
a,mxhybrid.entris-banking.ch,185.178.62.23,14400,,False,entris-banking.ch
a,mxhybrid.entris-banking.ch,185.178.62.22,14400,,False,entris-banking.ch
a,panoramix.prod.entris-banking.ch,171.25.20.215,14400,,False,entris-banking.ch
a,webgallier.prod.entris-banking.ch,171.25.20.215,14400,,False,entris-banking.ch
a,proview-val.entris-banking.ch,163.168.72.20,14400,,False,entris-banking.ch
a,sbc1.entris-banking.ch,185.178.62.7,14400,,False,entris-banking.ch
a,sbc2.entris-banking.ch,185.178.62.8,14400,,False,entris-banking.ch
a,securemail.entris-banking.ch,185.178.62.13,300,,False,entris-banking.ch
a,staging.entris-banking.ch,149.126.4.59,14400,,False,entris-banking.ch
a,panoramix.test.entris-banking.ch,171.25.20.216,14400,,False,entris-banking.ch
a,webgallier.test.entris-banking.ch,171.25.20.216,14400,,False,entris-banking.ch
a,vpn2corp.entris-banking.ch,185.178.61.164,14400,,False,entris-banking.ch
a,vpn2corp-test.entris-banking.ch,185.178.61.165,14400,,False,entris-banking.ch
a,wwwsec.entris-banking.ch,193.223.21.49,14400,,False,entris-banking.ch
a,wwwsec-t.entris-banking.ch,193.223.21.16,14400,,False,entris-banking.ch
a,zuko.entris-banking.ch,5.57.206.154,14400,,False,entris-banking.ch
a,entris-bankning.ch,149.126.4.73,14400,,False,entris-bankning.ch
a,entris-bankning.ch,195.48.45.5,14400,,False,entris-bankning.ch
a,test.entris-finanz.ch,10.99.99.99,14400,,False,entris-finanz.ch
a,test2.entris-finanz.ch,10.99.99.98,14400,,False,entris-finanz.ch
a,entris-holding.ch,149.126.4.65,14400,,False,entris-holding.ch
a,ftp.entris-holding.ch,149.126.4.65,14400,,False,entris-holding.ch
a,staging.entris-holding.ch,149.126.4.65,14400,,False,entris-holding.ch
a,entrisbanking.ch,149.126.4.59,14400,,False,entrisbanking.ch
a,gkb-extra.ch,145.252.1.15,14400,,False,gkb-extra.ch
a,localhost.gkb-extra.ch,127.0.0.1,14400,,False,gkb-extra.ch
a,www.gkb-extra.ch,145.252.1.15,14400,,False,gkb-extra.ch
a,gkb.ch,146.75.119.10,300,,False,gkb.ch
a,autodiscover.gkb.ch,185.178.61.246,14400,,False,gkb.ch
a,bma.gkb.ch,185.178.61.159,14400,,False,gkb.ch
a,hub.business-banking.gkb.ch,185.178.61.39,14400,,False,gkb.ch
a,hub.business-banking-dev.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,hub.business-banking-test.gkb.ch,185.178.61.38,120,,False,gkb.ch
a,capricorn.gkb.ch,217.26.50.243,14400,,False,gkb.ch
a,capricorn-test.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,capricorn-waf.gkb.ch,217.26.50.243,14400,,False,gkb.ch
a,crl.gkb.ch,185.178.60.81,14400,,False,gkb.ch
a,cronto.gkb.ch,185.178.61.39,3600,,False,gkb.ch
a,web-api.dev.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,devcronto.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,devwebview.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,ebics.gkb.ch,185.178.61.39,14400,,False,gkb.ch
a,ebics-dev.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,ebics-test.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,evak.gkb.ch,185.178.61.39,3600,,False,gkb.ch
a,event.gkb.ch,185.178.61.39,14400,,False,gkb.ch
a,evv.gkb.ch,185.178.61.20,900,,False,gkb.ch
a,extgioiakids.gkb.ch,185.178.61.39,3600,,False,gkb.ch
a,extgioiakids-tst.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,feedback.gkb.ch,20.250.16.161,120,,False,gkb.ch
a,gioia3a.gkb.ch,193.93.20.179,14400,,False,gkb.ch
a,gkb-extra.gkb.ch,149.126.4.78,14400,,False,gkb.ch
a,hrportal.gkb.ch,185.178.61.39,14400,,False,gkb.ch
a,identification.gkb.ch,185.178.61.39,14400,,False,gkb.ch
a,identification-test.gkb.ch,185.178.61.38,14400,,False,gkb.ch
a,kids.gkb.ch,185.178.60.99,120,,False,gkb.ch
